cpt_code,descriptor,current_work_rvu,current_total_rvu,current_payment_estimate,source_label,first_commit,first_commit_date,first_commit_message,active_cms_rvu26c_row_present,likely_source,classification,site_specialty,appears_in_search,appears_in_case_builder,general_surgery_record,trauma_acs_relevant,priority_proxy_score
93532,Combined right heart catheterization and transseptal left heart catheterization through intact septum for congenital cardiac anomalies,8.34,0,0.0,none stored,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113",No,specialty import,requires specialty review,diagnostic_cardiology,Yes,Yes,No,No,88.34
93533,Combined right heart catheterization and transseptal left heart catheterization through existing septal opening for congenital cardiac anomalies,7.56,0,0.0,none stored,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113",No,specialty import,requires specialty review,diagnostic_cardiology,Yes,Yes,No,No,87.56
93561,Indicator dilution studies injection procedure for cardiac output measurement,0.89,0,0.0,none stored,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113",No,specialty import,requires specialty review,diagnostic_cardiology,Yes,Yes,No,No,80.89
93562,Indicator dilution studies subsequent measurement of cardiac output,0.45,0,0.0,none stored,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113",No,specialty import,requires specialty review,diagnostic_cardiology,Yes,Yes,No,No,80.45
94250,Expired gas collection quantitative single procedure,0.23,0,0.0,none stored,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113",No,specialty import,should be re-imported from authoritative source,pulmonology,Yes,Yes,No,No,75.23
94400,Breathing response to CO2,0.89,0,0.0,none stored,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113",No,specialty import,should be re-imported from authoritative source,pulmonology,Yes,Yes,No,No,75.89
94620,Pulmonary stress testing (cardiopulmonary exercise),1.42,0,0.0,none stored,6ca3c7dc0d6710d3491b430b8b92cb4a657bf726,2026-04-05,FULL CPT INTELLIGENCE PLATFORM — Complete system overhaul,No,specialty import,should be re-imported from authoritative source,pulmonology,Yes,Yes,No,No,76.42
94662,Continuous negative pressure ventilation CNP initiation and management,1.34,0,0.0,none stored,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113",No,specialty import,should be re-imported from authoritative source,pulmonology,Yes,Yes,No,No,76.34
94720,Carbon monoxide diffusing capacity DLCO,0.56,0,0.0,none stored,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113",No,specialty import,should be re-imported from authoritative source,pulmonology,Yes,Yes,No,No,75.56
94750,Pulmonary compliance study lung or thorax,0.89,0,0.0,none stored,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113",No,specialty import,should be re-imported from authoritative source,pulmonology,Yes,Yes,No,No,75.89
94770,Carbon dioxide expired gas determination by infrared analyzer,0.23,0,0.0,none stored,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113",No,specialty import,should be re-imported from authoritative source,pulmonology,Yes,Yes,No,No,75.23
99218,"Initial observation care, straightforward/low",1.82,0,0.0,none stored,6ca3c7dc0d6710d3491b430b8b92cb4a657bf726,2026-04-05,FULL CPT INTELLIGENCE PLATFORM — Complete system overhaul,No,legacy import,should be inactive/deleted,internal_medicine,Yes,Yes,No,No,71.82
99219,"Initial observation care, moderate",0.59,0,0.0,none stored,6ca3c7dc0d6710d3491b430b8b92cb4a657bf726,2026-04-05,FULL CPT INTELLIGENCE PLATFORM — Complete system overhaul,No,legacy import,should be inactive/deleted,internal_medicine,Yes,Yes,No,No,70.59
99220,"Initial observation care, high",3.56,0,0.0,none stored,6ca3c7dc0d6710d3491b430b8b92cb4a657bf726,2026-04-05,FULL CPT INTELLIGENCE PLATFORM — Complete system overhaul,No,legacy import,should be inactive/deleted,internal_medicine,Yes,Yes,No,No,73.56
99224,"Subsequent observation care, straightforward",0.74,0,0.0,none stored,6ca3c7dc0d6710d3491b430b8b92cb4a657bf726,2026-04-05,FULL CPT INTELLIGENCE PLATFORM — Complete system overhaul,No,legacy import,should be inactive/deleted,internal_medicine,Yes,Yes,No,No,70.74
99225,"Subsequent observation care, moderate",1.39,0,0.0,none stored,6ca3c7dc0d6710d3491b430b8b92cb4a657bf726,2026-04-05,FULL CPT INTELLIGENCE PLATFORM — Complete system overhaul,No,legacy import,should be inactive/deleted,internal_medicine,Yes,Yes,No,No,71.39
99226,"Subsequent observation care, high",2,0,0.0,none stored,6ca3c7dc0d6710d3491b430b8b92cb4a657bf726,2026-04-05,FULL CPT INTELLIGENCE PLATFORM — Complete system overhaul,No,legacy import,should be inactive/deleted,internal_medicine,Yes,Yes,No,No,72.0
99241,"Office consultation, straightforward",0.64,0,0.0,none stored,6ca3c7dc0d6710d3491b430b8b92cb4a657bf726,2026-04-05,FULL CPT INTELLIGENCE PLATFORM — Complete system overhaul,No,legacy import,should be inactive/deleted,internal_medicine,Yes,Yes,No,No,70.64
99251,"Inpatient consultation, straightforward",0.64,0,0.0,none stored,6ca3c7dc0d6710d3491b430b8b92cb4a657bf726,2026-04-05,FULL CPT INTELLIGENCE PLATFORM — Complete system overhaul,No,legacy import,should be inactive/deleted,internal_medicine,Yes,Yes,No,No,70.64
99343,"Home visit, new patient, moderate",2.46,0,0.0,none stored,6ca3c7dc0d6710d3491b430b8b92cb4a657bf726,2026-04-05,FULL CPT INTELLIGENCE PLATFORM — Complete system overhaul,No,legacy import,should be inactive/deleted,internal_medicine,Yes,Yes,No,No,72.46
99354,"Prolonged service, outpatient, first hour",2.33,0,0.0,none stored,6ca3c7dc0d6710d3491b430b8b92cb4a657bf726,2026-04-05,FULL CPT INTELLIGENCE PLATFORM — Complete system overhaul,No,legacy import,should be inactive/deleted,internal_medicine,Yes,Yes,No,No,72.33
99355,"Prolonged service, outpatient, each additional 30 min",2.33,0,0.0,none stored,6ca3c7dc0d6710d3491b430b8b92cb4a657bf726,2026-04-05,FULL CPT INTELLIGENCE PLATFORM — Complete system overhaul,No,legacy import,should be inactive/deleted,internal_medicine,Yes,Yes,No,No,72.33
99356,"Prolonged service, inpatient, first hour",2.33,0,0.0,none stored,6ca3c7dc0d6710d3491b430b8b92cb4a657bf726,2026-04-05,FULL CPT INTELLIGENCE PLATFORM — Complete system overhaul,No,legacy import,should be inactive/deleted,internal_medicine,Yes,Yes,No,No,72.33
99357,"Prolonged service, inpatient, each additional 30 min",2.33,0,0.0,none stored,6ca3c7dc0d6710d3491b430b8b92cb4a657bf726,2026-04-05,FULL CPT INTELLIGENCE PLATFORM — Complete system overhaul,No,legacy import,should be inactive/deleted,internal_medicine,Yes,Yes,No,No,72.33
99441,"Telephone E/M, 5-10 min",0.5,0,0.0,none stored,da31a1adeb860a57acde7ceb319cbf3e3c4cd072,2026-04-05,Phase 2: Validation engine + 110 case test suite (107/110 passing),No,unknown,should be inactive/deleted,internal_medicine,Yes,Yes,No,No,70.5
99442,"Telephone E/M, 11-20 min",0.97,0,0.0,none stored,da31a1adeb860a57acde7ceb319cbf3e3c4cd072,2026-04-05,Phase 2: Validation engine + 110 case test suite (107/110 passing),No,unknown,should be inactive/deleted,internal_medicine,Yes,Yes,No,No,70.97
99443,"Telephone E/M, 21-30 min",1.5,0,0.0,none stored,da31a1adeb860a57acde7ceb319cbf3e3c4cd072,2026-04-05,Phase 2: Validation engine + 110 case test suite (107/110 passing),No,unknown,should be inactive/deleted,internal_medicine,Yes,Yes,No,No,71.5
