cpt_code,site_active_cpt,present_in_cms_rvu26c,cms_status_indicator,payment_status,site_specialty,site_descriptor,cms_descriptor,site_work_rvu,cms_work_rvu,site_total_rvu,cms_total_rvu,appears_in_search,appears_in_case_builder,classification,risk_score,recommended_remediation
20005,Yes,No,ABSENT,No row in CMS RVU26C baseline,orthopedic_surgery,"Incision of soft tissue abscess eg, secondary to osteomyelitis); deep or complicated",,0.0,,0.0,,Yes,Yes,deleted/inactive code,108.0,"Move to inactive/deleted handling: remove from active search/Case Builder, keep URL with warning or redirect after replacement-family review."
20926,Yes,No,ABSENT,No row in CMS RVU26C baseline,orthopedic_surgery,"Tissue grafts other; fat, dermis, fascia",,3.45,,0,,Yes,Yes,dataset defect,121.45,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
20930,Yes,Yes,B,Bundled/non-payable under MPFS,orthopedic_surgery,Allograft morselized for spine surgery only,Sp bone algrft morsel add-on,0,0.00,0,0.00,Yes,Yes,bundled/non-payable code,93.0,"Classify as non-payable/bundled; keep informational page if useful, exclude from payable workflows unless a supported payer-specific path exists."
20936,Yes,Yes,B,Bundled/non-payable under MPFS,orthopedic_surgery,Autograft for spine surgery only local,Sp bone agrft local add-on,0,0.00,0,0.00,Yes,Yes,bundled/non-payable code,93.0,"Classify as non-payable/bundled; keep informational page if useful, exclude from payable workflows unless a supported payer-specific path exists."
22841,Yes,Yes,B,Bundled/non-payable under MPFS,orthopedic_surgery,Internal spinal fixation by wiring of spinous processes,Insert spine fixation device,0,0.00,0,0.00,Yes,Yes,bundled/non-payable code,93.0,"Classify as non-payable/bundled; keep informational page if useful, exclude from payable workflows unless a supported payer-specific path exists."
22851,Yes,No,ABSENT,No row in CMS RVU26C baseline,orthopedic_surgery,Application of intervertebral biomechanical device to vertebral defect,,6.78,,0,,Yes,Yes,dataset defect,124.78,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
22899,Yes,Yes,C,Carrier-priced by Medicare contractor,orthopedic_surgery,Unlisted procedure spine,Unlisted procedure spine,0,0.00,0,0.00,Yes,Yes,carrier-priced code,78.0,Classify as carrier-priced; keep searchable only with warning that Medicare payment is contractor-priced and not estimated by RVU formula.
24151,Yes,No,ABSENT,No row in CMS RVU26C baseline,orthopedic_surgery,"Radical resection for tumor, shaft or distal humerus, with autograft, including graft harvest",,0.0,,0.0,,Yes,Yes,deleted/inactive code,108.0,"Move to inactive/deleted handling: remove from active search/Case Builder, keep URL with warning or redirect after replacement-family review."
24153,Yes,No,ABSENT,No row in CMS RVU26C baseline,orthopedic_surgery,"Radical resection for tumor, radial head or neck, with autograft, including graft harvest",,0.0,,0.0,,Yes,Yes,deleted/inactive code,108.0,"Move to inactive/deleted handling: remove from active search/Case Builder, keep URL with warning or redirect after replacement-family review."
24940,Yes,Yes,C,Carrier-priced by Medicare contractor,orthopedic_surgery,"Cineplasty, upper extremity, complete procedure",Revision of upper arm,0.0,0.00,0.0,0.00,Yes,Yes,carrier-priced code,78.0,Classify as carrier-priced; keep searchable only with warning that Medicare payment is contractor-priced and not estimated by RVU formula.
24999,Yes,Yes,C,Carrier-priced by Medicare contractor,orthopedic_surgery,"Unlisted procedure, upper extremity",Unlisted px humerus/elbow,0.0,0.00,0.0,0.00,Yes,Yes,carrier-priced code,78.0,Classify as carrier-priced; keep searchable only with warning that Medicare payment is contractor-priced and not estimated by RVU formula.
25999,Yes,Yes,C,Carrier-priced by Medicare contractor,orthopedic_surgery,"Unlisted procedure, forearm or wrist",Unlisted px forearm/wrist,0.0,0.00,0.0,0.00,Yes,Yes,carrier-priced code,78.0,Classify as carrier-priced; keep searchable only with warning that Medicare payment is contractor-priced and not estimated by RVU formula.
26255,Yes,No,ABSENT,No row in CMS RVU26C baseline,orthopedic_surgery,"Radical resection ostectomy for tumor, metacarpal; with autograft (includes obtaining graft)",,0.0,,0.0,,Yes,Yes,deleted/inactive code,108.0,"Move to inactive/deleted handling: remove from active search/Case Builder, keep URL with warning or redirect after replacement-family review."
26261,Yes,No,ABSENT,No row in CMS RVU26C baseline,orthopedic_surgery,Radical resection proximal or middle phalanx with autograft,,12.78,,0,,Yes,Yes,dataset defect,130.78,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
26989,Yes,Yes,C,Carrier-priced by Medicare contractor,hand_surgery,Unlisted procedure hands or fingers,Unlisted px hands/fingers,0,0.00,0,0.00,Yes,Yes,carrier-priced code,70.0,Classify as carrier-priced; keep searchable only with warning that Medicare payment is contractor-priced and not estimated by RVU formula.
27194,Yes,No,ABSENT,No row in CMS RVU26C baseline,orthopedics,Closed tx pelvic ring fx; with manipulation,,6.55,,0,,Yes,Yes,dataset defect,116.55,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
27299,Yes,Yes,C,Carrier-priced by Medicare contractor,orthopedic_surgery,Unlisted procedure pelvis or hip joint,Unlisted px pelvis/hip joint,0,0.00,0,0.00,Yes,Yes,carrier-priced code,78.0,Classify as carrier-priced; keep searchable only with warning that Medicare payment is contractor-priced and not estimated by RVU formula.
27445,Yes,No,ABSENT,No row in CMS RVU26C baseline,orthopedic_surgery,Arthroplasty knee hinge prosthesis,,20.89,,0,,Yes,Yes,dataset defect,138.89,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
27468,Yes,No,ABSENT,No row in CMS RVU26C baseline,orthopedic_surgery,Lengthening of long bone tibia,,15.67,,0,,Yes,Yes,dataset defect,133.67,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
27599,Yes,Yes,C,Carrier-priced by Medicare contractor,orthopedic_surgery,Unlisted procedure leg or ankle,Unlisted px femur/knee,0,0.00,0,0.00,Yes,Yes,carrier-priced code,78.0,Classify as carrier-priced; keep searchable only with warning that Medicare payment is contractor-priced and not estimated by RVU formula.
28440,Yes,No,ABSENT,No row in CMS RVU26C baseline,orthopedics,Closed tx tarsal bone fx (excl talus/calcaneus); without manipulation,,2.15,,0,,Yes,Yes,dataset defect,112.15,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
29020,Yes,No,ABSENT,No row in CMS RVU26C baseline,orthopedic_surgery,Application of turnbuckle jacket body cast,,5.89,,0,,Yes,Yes,dataset defect,123.89,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
29025,Yes,No,ABSENT,No row in CMS RVU26C baseline,orthopedics,"Application of body cast, shoulder to hips, Minerva type",,3.55,,0,,Yes,Yes,dataset defect,113.55,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
29582,Yes,No,ABSENT,No row in CMS RVU26C baseline,orthopedics,Application of multi-layer compression; thigh and leg,,1.05,,0,,Yes,Yes,dataset defect,111.05,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
29583,Yes,No,ABSENT,No row in CMS RVU26C baseline,orthopedics,Application of multi-layer compression; upper arm and forearm,,0.85,,0,,Yes,Yes,dataset defect,110.85,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
29715,Yes,No,ABSENT,No row in CMS RVU26C baseline,orthopedic_surgery,Removal or bivalving of turnbuckle jacket body cast,,1.56,,0,,Yes,Yes,dataset defect,119.56,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
29799,Yes,Yes,C,Carrier-priced by Medicare contractor,orthopedic_surgery,Unlisted procedure casting or strapping,Unlisted px casting/strpg,0,0.00,0,0.00,Yes,Yes,carrier-priced code,78.0,Classify as carrier-priced; keep searchable only with warning that Medicare payment is contractor-priced and not estimated by RVU formula.
29999,Yes,Yes,C,Carrier-priced by Medicare contractor,orthopedic_surgery,Unlisted procedure arthroscopy,Unlisted px arthroscopy,0,0.00,0,0.00,Yes,Yes,carrier-priced code,78.0,Classify as carrier-priced; keep searchable only with warning that Medicare payment is contractor-priced and not estimated by RVU formula.
31299,Yes,Yes,C,Carrier-priced by Medicare contractor,ent,"Unlisted procedure, accessory sinuses",Unlisted px accessory sinus,0,0.00,0,0.00,Yes,Yes,carrier-priced code,70.0,Classify as carrier-priced; keep searchable only with warning that Medicare payment is contractor-priced and not estimated by RVU formula.
32020,Yes,No,ABSENT,No row in CMS RVU26C baseline,general_surgery,"Thoracotomy, with or without pleural biopsy",,12.85,,0,,Yes,Yes,dataset defect,130.85,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
32602,Yes,No,ABSENT,No row in CMS RVU26C baseline,general_surgery,"Thoracoscopy, with biopsy",,5.3,,0,,Yes,Yes,dataset defect,123.3,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
34800,Yes,No,ABSENT,No row in CMS RVU26C baseline,vascular,"Endovascular AAA repair, aorto-aortic tube graft",,25,,0,,Yes,Yes,dataset defect,143.0,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
34802,Yes,No,ABSENT,No row in CMS RVU26C baseline,vascular,"Endovascular AAA repair, aorto-bi-iliac graft",,27.54,,0,,Yes,Yes,dataset defect,145.54,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
35450,Yes,No,ABSENT,No row in CMS RVU26C baseline,vascular,"Transluminal balloon angioplasty, renal or visceral artery",,9.84,,0,,Yes,Yes,dataset defect,127.84,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
37220,Yes,No,ABSENT,No row in CMS RVU26C baseline,vascular,Iliac artery angioplasty,,7.16,,0,,Yes,Yes,dataset defect,125.16,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
37221,Yes,No,ABSENT,No row in CMS RVU26C baseline,vascular,Iliac artery stent placement,,8.72,,0,,Yes,Yes,dataset defect,126.72,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
37224,Yes,No,ABSENT,No row in CMS RVU26C baseline,vascular,Femoral/popliteal angioplasty,,7.16,,0,,Yes,Yes,dataset defect,125.16,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
37226,Yes,No,ABSENT,No row in CMS RVU26C baseline,vascular,Femoral/popliteal stent placement,,8.72,,0,,Yes,Yes,dataset defect,126.72,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
37229,Yes,No,ABSENT,No row in CMS RVU26C baseline,vascular,"Revascularization, tibial/peroneal, atherectomy",,12.64,,0,,Yes,Yes,dataset defect,130.64,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
37799,Yes,Yes,C,Carrier-priced by Medicare contractor,orthopedic_surgery,Unlisted vascular procedure,Unlisted px vascular surgery,0.0,0.00,0.0,0.00,Yes,Yes,carrier-priced code,78.0,Classify as carrier-priced; keep searchable only with warning that Medicare payment is contractor-priced and not estimated by RVU formula.
39400,Yes,No,ABSENT,No row in CMS RVU26C baseline,cardiothoracic_surgery,"Mediastinoscopy; includes biopsy(ies), when performed",,5.85,,0,,Yes,Yes,dataset defect,123.85,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
41899,Yes,Yes,C,Carrier-priced by Medicare contractor,general_surgery,"Unlisted procedure, dentoalveolar structures",Unlisted px dentalvlr strux,0,0.00,0,0.00,Yes,Yes,carrier-priced code,78.0,Classify as carrier-priced; keep searchable only with warning that Medicare payment is contractor-priced and not estimated by RVU formula.
43324,Yes,No,ABSENT,No row in CMS RVU26C baseline,general_surgery,"Esophagogastric fundoplasty (eg, Nissen, Belsey IV, Hill procedures)",,19.06,,0,,Yes,Yes,dataset defect,137.06,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
43647,Yes,Yes,C,Carrier-priced by Medicare contractor,general_surgery,Laparoscopic implantation of gastric neurostimulator electrodes,Lap impl electrode antrum,0.0,0.00,0.0,0.00,Yes,Yes,carrier-priced code,78.0,Classify as carrier-priced; keep searchable only with warning that Medicare payment is contractor-priced and not estimated by RVU formula.
43648,Yes,Yes,C,Carrier-priced by Medicare contractor,general_surgery,Laparoscopic revision or removal of gastric neurostimulator electrodes,Lap revise/remv eltrd antrum,0.0,0.00,0.0,0.00,Yes,Yes,carrier-priced code,78.0,Classify as carrier-priced; keep searchable only with warning that Medicare payment is contractor-priced and not estimated by RVU formula.
43659,Yes,Yes,C,Carrier-priced by Medicare contractor,general_surgery,"Unlisted laparoscopy procedure, stomach",Unlisted laps px stomach,0.0,0.00,0.0,0.00,Yes,Yes,carrier-priced code,78.0,Classify as carrier-priced; keep searchable only with warning that Medicare payment is contractor-priced and not estimated by RVU formula.
43881,Yes,Yes,C,Carrier-priced by Medicare contractor,general_surgery,Open implantation or replacement of gastric neurostimulator electrodes,Impl/rplcmt gstr nstim eltrd,0.0,0.00,0.0,0.00,Yes,Yes,carrier-priced code,78.0,Classify as carrier-priced; keep searchable only with warning that Medicare payment is contractor-priced and not estimated by RVU formula.
43882,Yes,Yes,C,Carrier-priced by Medicare contractor,general_surgery,Open revision or removal of gastric neurostimulator electrodes,Rev/rmvl gstr nstim eltrd,0.0,0.00,0.0,0.00,Yes,Yes,carrier-priced code,78.0,Classify as carrier-priced; keep searchable only with warning that Medicare payment is contractor-priced and not estimated by RVU formula.
43999,Yes,Yes,C,Carrier-priced by Medicare contractor,general_surgery,"Unlisted procedure, stomach",Unlisted procedure stomach,0.0,0.00,0.0,0.00,Yes,Yes,carrier-priced code,78.0,Classify as carrier-priced; keep searchable only with warning that Medicare payment is contractor-priced and not estimated by RVU formula.
44979,Yes,Yes,C,Carrier-priced by Medicare contractor,general_surgery,"Unlisted laparoscopy procedure, appendix",Unlisted laps px appendix,0,0.00,0,0.00,Yes,Yes,carrier-priced code,78.0,Classify as carrier-priced; keep searchable only with warning that Medicare payment is contractor-priced and not estimated by RVU formula.
47133,Yes,Yes,X,Statutory exclusion/non-MPFS payment path,general_surgery,"Donor hepatectomy, from living donor",Removal of donor liver,0,0.00,0,0.00,Yes,Yes,technical-only code,68.0,Classify as non-MPFS/statutory-exclusion or technical/lab-only; remove from payable surgical Case Builder unless separate fee-schedule logic exists.
47136,Yes,No,ABSENT,No row in CMS RVU26C baseline,gastroenterology,Liver allotransplantation heterotopic partial or whole from cadaver or living donor any age any method,,52.34,,0,,Yes,Yes,dataset defect,170.34,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
47379,Yes,Yes,C,Carrier-priced by Medicare contractor,gastroenterology,Unlisted laparoscopic procedure liver,Unlisted laps px liver,0,0.00,0,0.00,Yes,Yes,carrier-priced code,78.0,Classify as carrier-priced; keep searchable only with warning that Medicare payment is contractor-priced and not estimated by RVU formula.
47399,Yes,Yes,C,Carrier-priced by Medicare contractor,gastroenterology,Unlisted procedure liver,Unlisted procedure liver,0,0.00,0,0.00,Yes,Yes,carrier-priced code,78.0,Classify as carrier-priced; keep searchable only with warning that Medicare payment is contractor-priced and not estimated by RVU formula.
47505,Yes,No,ABSENT,No row in CMS RVU26C baseline,gastroenterology,Injection procedure for cholangiography through an existing catheter,,1.23,,0,,Yes,Yes,dataset defect,119.23,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
47510,Yes,No,ABSENT,No row in CMS RVU26C baseline,general_surgery,"Percutaneous biliary drainage, external",,5.5,,0,,Yes,Yes,dataset defect,123.5,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
47525,Yes,No,ABSENT,No row in CMS RVU26C baseline,gastroenterology,Change of percutaneous biliary drainage catheter,,2.34,,0,,Yes,Yes,dataset defect,120.34,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
47530,Yes,No,ABSENT,No row in CMS RVU26C baseline,gastroenterology,Revision and/or reinsertion of transhepatic tube,,3.56,,0,,Yes,Yes,dataset defect,121.56,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
47560,Yes,No,ABSENT,No row in CMS RVU26C baseline,gastroenterology,Laparoscopy surgical with guided transhepatic cholangiography without biopsy,,5.89,,0,,Yes,Yes,dataset defect,123.89,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
47561,Yes,No,ABSENT,No row in CMS RVU26C baseline,gastroenterology,Laparoscopy surgical with guided transhepatic cholangiography with biopsy,,6.78,,0,,Yes,Yes,dataset defect,124.78,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
47579,Yes,Yes,C,Carrier-priced by Medicare contractor,gastroenterology,Unlisted laparoscopic procedure biliary tract,Unlisted laps px biliary trc,0,0.00,0,0.00,Yes,Yes,carrier-priced code,78.0,Classify as carrier-priced; keep searchable only with warning that Medicare payment is contractor-priced and not estimated by RVU formula.
47802,Yes,No,ABSENT,No row in CMS RVU26C baseline,gastroenterology,U-tube hepaticoenterostomy,,24.56,,0,,Yes,Yes,dataset defect,142.56,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
47999,Yes,Yes,C,Carrier-priced by Medicare contractor,general_surgery,"Unlisted procedure, liver",Unlisted px biliary tract,0,0.00,0,0.00,Yes,Yes,carrier-priced code,78.0,Classify as carrier-priced; keep searchable only with warning that Medicare payment is contractor-priced and not estimated by RVU formula.
48160,Yes,Yes,N,Non-covered/non-payable under MPFS,general_surgery,"Pancreatojejunostomy, side-to-side anastomosis",Pancreas removal/transplant,0,0.00,0,0.00,Yes,Yes,bundled/non-payable code,93.0,"Classify as non-payable/bundled; keep informational page if useful, exclude from payable workflows unless a supported payer-specific path exists."
48999,Yes,Yes,C,Carrier-priced by Medicare contractor,general_surgery,"Unlisted procedure, pancreas",Unlisted procedure pancreas,0,0.00,0,0.00,Yes,Yes,carrier-priced code,78.0,Classify as carrier-priced; keep searchable only with warning that Medicare payment is contractor-priced and not estimated by RVU formula.
49203,Yes,No,ABSENT,No row in CMS RVU26C baseline,general_surgery,"Excision or destruction, open, intra-abdominal tumors, cysts or endometriomas, 1 or more peritoneal, mesenteric, or retroperitoneal primary or secondary tumors; largest tumor 5 cm diameter or less",,16.76,,0,,Yes,Yes,dataset defect,134.76,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
49566,Yes,No,ABSENT,No row in CMS RVU26C baseline,hernia_repair,Repair recurrent incisional or ventral hernia; incarcerated or strangulated (legacy/deleted 2023),,15.53,,0,,Yes,Yes,dataset defect,125.53,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
49568,Yes,No,ABSENT,No row in CMS RVU26C baseline,hernia_repair,Implantation of mesh or other prosthesis for open incisional or ventral hernia repair (add-on),,4.88,,0,,Yes,Yes,dataset defect,114.88,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
49580,Yes,No,ABSENT,No row in CMS RVU26C baseline,hernia_repair,"Repair umbilical hernia, younger than age 5 years; reducible",,2.46,,0,,Yes,Yes,dataset defect,112.46,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
49582,Yes,No,ABSENT,No row in CMS RVU26C baseline,general_surgery,"Umbilical hernia repair, <5 years, incarcerated",,5.58,,0,,Yes,Yes,dataset defect,123.58,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
49585,Yes,No,ABSENT,No row in CMS RVU26C baseline,hernia_repair,"Repair umbilical hernia, age 5 years or older; reducible",,4.8,,0,,Yes,Yes,dataset defect,114.8,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
49587,Yes,No,ABSENT,No row in CMS RVU26C baseline,hernia_repair,"Repair umbilical hernia, age 5 years or older; incarcerated or strangulated",,9.13,,0,,Yes,Yes,dataset defect,119.13,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
49590,Yes,No,ABSENT,No row in CMS RVU26C baseline,general_surgery,"Spigelian hernia repair, reducible",,7.83,,0,,Yes,Yes,dataset defect,125.83,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
49652,Yes,No,ABSENT,No row in CMS RVU26C baseline,general_surgery,"Laparoscopy, surgical; repair initial ventral hernia",,8.86,,0,,Yes,Yes,dataset defect,126.86,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
49653,Yes,No,ABSENT,No row in CMS RVU26C baseline,general_surgery,"Laparoscopy, surgical; repair ventral hernia 3-10 cm",,20.28,,0,,Yes,Yes,dataset defect,138.28,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
49654,Yes,No,ABSENT,No row in CMS RVU26C baseline,general_surgery,"Laparoscopy, surgical; repair ventral hernia >10 cm",,22.85,,0,,Yes,Yes,dataset defect,140.85,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
49656,Yes,No,ABSENT,No row in CMS RVU26C baseline,general_surgery,"Laparoscopy, repair recurrent ventral hernia; <3 cm",,12.5,,0,,Yes,Yes,dataset defect,130.5,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
49657,Yes,No,ABSENT,No row in CMS RVU26C baseline,general_surgery,"Laparoscopy, repair recurrent ventral hernia; 3-10 cm or larger",,16,,0,,Yes,Yes,dataset defect,134.0,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
49999,Yes,Yes,C,Carrier-priced by Medicare contractor,general_surgery,"Unlisted procedure, abdomen (e.g., temporary abdominal closure with NPWT)",Unlisted px abd pertm&omn,0,0.00,0,0.00,Yes,Yes,carrier-priced code,78.0,Classify as carrier-priced; keep searchable only with warning that Medicare payment is contractor-priced and not estimated by RVU formula.
52647,Yes,No,ABSENT,No row in CMS RVU26C baseline,urology,Laser vaporization of prostate including control of postoperative bleeding with coagulation,,10.89,,0,,Yes,Yes,dataset defect,128.89,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
55700,Yes,No,ABSENT,No row in CMS RVU26C baseline,urology,"Prostate biopsy, any approach",,2.96,,0,,Yes,Yes,dataset defect,120.96,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
55899,Yes,Yes,C,Carrier-priced by Medicare contractor,urology,Unlisted procedure male genital system,Unlisted px male genital sys,0,0.00,0,0.00,Yes,Yes,carrier-priced code,78.0,Classify as carrier-priced; keep searchable only with warning that Medicare payment is contractor-priced and not estimated by RVU formula.
57112,Yes,No,ABSENT,No row in CMS RVU26C baseline,obgyn,Exenteration of vagina; complete,,35.4,,0,,Yes,Yes,dataset defect,153.4,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
64402,Yes,No,ABSENT,No row in CMS RVU26C baseline,pain_management,Injection anesthetic agent facial nerve,,1.34,,0,,Yes,Yes,dataset defect,111.34,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
64410,Yes,No,ABSENT,No row in CMS RVU26C baseline,pain_management,Injection anesthetic agent phrenic nerve,,1.34,,0,,Yes,Yes,dataset defect,111.34,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
64412,Yes,No,ABSENT,No row in CMS RVU26C baseline,pain_management,Injection anesthetic agent spinal accessory nerve,,1.34,,0,,Yes,Yes,dataset defect,111.34,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
64413,Yes,No,ABSENT,No row in CMS RVU26C baseline,pain_management,Injection anesthetic agent cervical plexus,,1.56,,0,,Yes,Yes,dataset defect,111.56,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
64508,Yes,No,ABSENT,No row in CMS RVU26C baseline,vascular,"Injection, anesthetic agent; carotid sinus (separate procedure)",,1.85,,0,,Yes,Yes,dataset defect,119.85,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
64999,Yes,Yes,C,Carrier-priced by Medicare contractor,orthopedic_surgery,"Nerve procedure, unlisted",Unlisted px nervous system,0.0,0.00,0.0,0.00,Yes,Yes,carrier-priced code,78.0,Classify as carrier-priced; keep searchable only with warning that Medicare payment is contractor-priced and not estimated by RVU formula.
65455,Yes,No,ABSENT,No row in CMS RVU26C baseline,ophthalmology,Removal of corneal epithelium; with chelation,,1.4,,0,,Yes,Yes,dataset defect,111.4,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
65470,Yes,No,ABSENT,No row in CMS RVU26C baseline,ophthalmology,Fistulectomy of cornea,,4.2,,0,,Yes,Yes,dataset defect,114.2,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
65471,Yes,No,ABSENT,No row in CMS RVU26C baseline,ophthalmology,Fistulectomy of sclera,,4.6,,0,,Yes,Yes,dataset defect,114.6,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
65472,Yes,No,ABSENT,No row in CMS RVU26C baseline,ophthalmology,Treatment of recurrent corneal erosion by laser,,3.2,,0,,Yes,Yes,dataset defect,113.2,"High priority: source-row mismatch or legacy specialty-import artifact. Verify current CPT/CMS status, then either restore CMS total/payment or reclassify inactive/deleted."
